datetime,basin_id,Year,Month,Day,qcfs,flag
1980-01-01,RC13172117,1980,1,1,0.0,si
1980-01-02,RC13172117,1980,1,2,0.0,si
1980-01-03,RC13172117,1980,1,3,0.0,si
1980-01-04,RC13172117,1980,1,4,0.0,si
1980-01-05,RC13172117,1980,1,5,0.0,si
1980-01-06,RC13172117,1980,1,6,0.0,si
1980-01-07,RC13172117,1980,1,7,0.0,si
1980-01-08,RC13172117,1980,1,8,0.0,si
1980-01-09,RC13172117,1980,1,9,0.0,si
1980-01-10,RC13172117,1980,1,10,0.0,si
1980-01-11,RC13172117,1980,1,11,0.0,si
1980-01-12,RC13172117,1980,1,12,0.004839613908068406,si
1980-01-13,RC13172117,1980,1,13,0.0007748697913371668,si
1980-01-14,RC13172117,1980,1,14,0.0006101311596035834,si
1980-01-15,RC13172117,1980,1,15,0.00014688936105354167,si
1980-01-16,RC13172117,1980,1,16,0.0,si
1980-01-17,RC13172117,1980,1,17,0.0,si
1980-01-18,RC13172117,1980,1,18,0.0,si
1980-01-19,RC13172117,1980,1,19,0.0,si
1980-01-20,RC13172117,1980,1,20,0.0,si
1980-01-21,RC13172117,1980,1,21,0.0,si
1980-01-22,RC13172117,1980,1,22,0.0,si
1980-01-23,RC13172117,1980,1,23,0.0,si
1980-01-24,RC13172117,1980,1,24,0.0,si
1980-01-25,RC13172117,1980,1,25,0.0,si
1980-01-26,RC13172117,1980,1,26,0.0,si
1980-01-27,RC13172117,1980,1,27,0.0,si
1980-01-28,RC13172117,1980,1,28,0.0,si
1980-01-29,RC13172117,1980,1,29,0.0,si
1980-01-30,RC13172117,1980,1,30,0.0,si
1980-01-31,RC13172117,1980,1,31,0.0,si
1980-02-01,RC13172117,1980,2,1,0.0,si
1980-02-02,RC13172117,1980,2,2,0.0,si
1980-02-03,RC13172117,1980,2,3,6.278880087708333e-05,si
1980-02-04,RC13172117,1980,2,4,0.0,si
1980-02-05,RC13172117,1980,2,5,0.0,si
1980-02-06,RC13172117,1980,2,6,0.0,si
1980-02-07,RC13172117,1980,2,7,0.0,si
1980-02-08,RC13172117,1980,2,8,0.0,si
1980-02-09,RC13172117,1980,2,9,0.0,si
1980-02-10,RC13172117,1980,2,10,0.0,si
1980-02-11,RC13172117,1980,2,11,0.0,si
1980-02-12,RC13172117,1980,2,12,0.0,si
1980-02-13,RC13172117,1980,2,13,0.0,si
1980-02-14,RC13172117,1980,2,14,0.0,si
1980-02-15,RC13172117,1980,2,15,0.0,si
1980-02-16,RC13172117,1980,2,16,0.0,si
1980-02-17,RC13172117,1980,2,17,0.0,si
1980-02-18,RC13172117,1980,2,18,0.0009000300321951667,si
1980-02-19,RC13172117,1980,2,19,0.0009096340855770416,si
1980-02-20,RC13172117,1980,2,20,0.0011484999942022501,si
1980-02-21,RC13172117,1980,2,21,0.0002999595891878334,si
1980-02-22,RC13172117,1980,2,22,0.0004367512562113334,si
1980-02-23,RC13172117,1980,2,23,0.00044502219438266664,si
1980-02-24,RC13172117,1980,2,24,0.00036247374470012506,si
1980-02-25,RC13172117,1980,2,25,0.0004069671913783333,si
1980-02-26,RC13172117,1980,2,26,0.00018460853008955,si
1980-02-27,RC13172117,1980,2,27,0.0,si
1980-02-28,RC13172117,1980,2,28,0.0,si
1980-02-29,RC13172117,1980,2,29,0.0,si
1980-03-01,RC13172117,1980,3,1,0.0,si
1980-03-02,RC13172117,1980,3,2,0.0,si
1980-03-03,RC13172117,1980,3,3,0.0,si
1980-03-04,RC13172117,1980,3,4,0.0,si
1980-03-05,RC13172117,1980,3,5,0.0,si
1980-03-06,RC13172117,1980,3,6,0.0,si
1980-03-07,RC13172117,1980,3,7,0.0,si
1980-03-08,RC13172117,1980,3,8,0.0,si
1980-03-09,RC13172117,1980,3,9,0.0,si
1980-03-10,RC13172117,1980,3,10,0.0,si
1980-03-11,RC13172117,1980,3,11,0.0,si
1980-03-12,RC13172117,1980,3,12,0.0,si
1980-03-13,RC13172117,1980,3,13,0.0,si
1980-03-14,RC13172117,1980,3,14,0.0,si
1980-03-15,RC13172117,1980,3,15,0.0,si
1980-03-16,RC13172117,1980,3,16,0.0,si
1980-03-17,RC13172117,1980,3,17,0.0,si
1980-03-18,RC13172117,1980,3,18,0.0,si
1980-03-19,RC13172117,1980,3,19,0.0,si
1980-03-20,RC13172117,1980,3,20,0.0001511518997870375,si
1980-03-21,RC13172117,1980,3,21,0.000273338117598875,si
1980-03-22,RC13172117,1980,3,22,0.0011673016876268334,si
1980-03-23,RC13172117,1980,3,23,7.653429741470834e-05,si
1980-03-24,RC13172117,1980,3,24,0.0,si
1980-03-25,RC13172117,1980,3,25,0.0,si
1980-03-26,RC13172117,1980,3,26,0.0,si
1980-03-27,RC13172117,1980,3,27,0.0004172394135986667,si
1980-03-28,RC13172117,1980,3,28,0.0004082625051454167,si
1980-03-29,RC13172117,1980,3,29,0.000146493806984625,si
1980-03-30,RC13172117,1980,3,30,4.134780449016667e-05,si
1980-03-31,RC13172117,1980,3,31,0.0,si
1980-04-01,RC13172117,1980,4,1,0.0,si
1980-04-02,RC13172117,1980,4,2,0.0,si
1980-04-03,RC13172117,1980,4,3,0.0,si
1980-04-04,RC13172117,1980,4,4,0.0,si
1980-04-05,RC13172117,1980,4,5,0.0,si
1980-04-06,RC13172117,1980,4,6,0.0,si
1980-04-07,RC13172117,1980,4,7,0.0,si
1980-04-08,RC13172117,1980,4,8,0.0,si
1980-04-09,RC13172117,1980,4,9,0.0,si
1980-04-10,RC13172117,1980,4,10,0.0,si
1980-04-11,RC13172117,1980,4,11,0.0,si
1980-04-12,RC13172117,1980,4,12,0.0,si
1980-04-13,RC13172117,1980,4,13,0.0,si
1980-04-14,RC13172117,1980,4,14,0.0,si
1980-04-15,RC13172117,1980,4,15,0.0,si
1980-04-16,RC13172117,1980,4,16,0.0,si
1980-04-17,RC13172117,1980,4,17,0.0,si
1980-04-18,RC13172117,1980,4,18,0.0,si
1980-04-19,RC13172117,1980,4,19,0.0,si
1980-04-20,RC13172117,1980,4,20,0.0,si
1980-04-21,RC13172117,1980,4,21,0.0,si
1980-04-22,RC13172117,1980,4,22,0.0,si
1980-04-23,RC13172117,1980,4,23,0.0,si
1980-04-24,RC13172117,1980,4,24,0.0,si
1980-04-25,RC13172117,1980,4,25,0.0,si
1980-04-26,RC13172117,1980,4,26,0.0,si
1980-04-27,RC13172117,1980,4,27,0.0,si
1980-04-28,RC13172117,1980,4,28,0.0,si
1980-04-29,RC13172117,1980,4,29,0.0,si
1980-04-30,RC13172117,1980,4,30,0.0,si
1980-05-01,RC13172117,1980,5,1,0.0,si
1980-05-02,RC13172117,1980,5,2,0.0,si
1980-05-03,RC13172117,1980,5,3,0.0,si
1980-05-04,RC13172117,1980,5,4,0.0,si
1980-05-05,RC13172117,1980,5,5,0.0,si
1980-05-06,RC13172117,1980,5,6,0.0,si
1980-05-07,RC13172117,1980,5,7,0.0,si
1980-05-08,RC13172117,1980,5,8,0.0,si
1980-05-09,RC13172117,1980,5,9,0.0,si
1980-05-10,RC13172117,1980,5,10,0.0,si
1980-05-11,RC13172117,1980,5,11,0.0,si
1980-05-12,RC13172117,1980,5,12,0.0,si
1980-05-13,RC13172117,1980,5,13,0.0,si
1980-05-14,RC13172117,1980,5,14,0.0,si
1980-05-15,RC13172117,1980,5,15,0.0,si
1980-05-16,RC13172117,1980,5,16,0.0,si
1980-05-17,RC13172117,1980,5,17,0.0,si
1980-05-18,RC13172117,1980,5,18,0.0,si
1980-05-19,RC13172117,1980,5,19,0.0,si
1980-05-20,RC13172117,1980,5,20,0.0,si
1980-05-21,RC13172117,1980,5,21,0.0,si
1980-05-22,RC13172117,1980,5,22,0.0,si
1980-05-23,RC13172117,1980,5,23,0.0,si
1980-05-24,RC13172117,1980,5,24,0.0,si
